SCHEMA_ID,NAME,TYPE,DESCRIPTION,MULTIVALUED,REQUIRED,CASE_EXACT,MUTABILITY,RETURNED,UNIQUENESS,CANONICAL_VALUES,REFERENCE_TYPES,SUB_ATTRIBUTE_OF
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,sort,complex,A complex type that specifies sort result options.,0,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,supported,boolean,A Boolean value specifying whether or not the operation is supported.,0,1,0,readOnly,default,NULL,NULL,NULL,sort
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,authenticationSchemes,complex,A complex type that specifies supported authentication scheme properties.,1,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,name,string,"The common authentication scheme name, e.g., HTTP Basic.",0,1,0,readOnly,default,none,NULL,NULL,authenticationSchemes
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,description,string,A description of the authentication scheme.,0,1,0,readOnly,default,none,NULL,NULL,authenticationSchemes
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,specUri,reference,An HTTP-addressable URL pointing to the authentication schemes specification.,0,0,0,readOnly,default,none,NULL,external,authenticationSchemes
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,documentationUri,reference,An HTTP-addressable URL pointing to the authentication schemes usage documentation.,0,0,0,readOnly,default,none,NULL,external,authenticationSchemes
urn:ietf:params:scim:schemas:core:2.0:Schema,id,string,"The unique URI of the schema. When applicable, service providers MUST specify the URI.",0,1,0,readOnly,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:Schema,name,string,"The schemas human-readable name.  When applicable, service providers MUST specify the name, e.g., User.",0,1,0,readOnly,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:Schema,description,string,"The schemas human-readable name.  When applicable, service providers MUST specify the name, e.g., User.",0,0,0,readOnly,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:Schema,attributes,complex,A complex attribute that includes the attributes of a schema.,1,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:Schema,name,string,The attributes name.,0,1,1,readOnly,default,none,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,type,string,"The attributes data type. Valid values include string, complex, boolean, decimal, integer, dateTime, reference.",0,1,0,readOnly,default,none,"string,complex,boolean,decimal,integer,dateTime,reference",NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,multiValued,boolean,A Boolean value indicating an attributes plurality.,0,1,0,readOnly,default,NULL,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,description,string,A human-readable description of the attribute.,0,0,1,readOnly,default,none,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,required,boolean,A boolean value indicating whether or not the attribute is required.,0,0,0,readOnly,default,NULL,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,canonicalValues,string,"A collection of canonical values. When applicable, service providers MUST specify the canonical types, e.g., work, home.",1,0,1,readOnly,default,none,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,caseExact,boolean,A Boolean value indicating whether or not a string attribute is case sensitive.,0,0,0,readOnly,default,NULL,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,mutability,string,Indicates whether or not an attribute is modifiable.,0,0,1,readOnly,default,none,"readOnly,readWrite,immutable,writeOnly",NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,returned,string,"Indicates when an attribute is returned in a response (e.g., to a query).",0,0,1,readOnly,default,none,"always,never,default,request",NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,uniqueness,string,Indicates how unique a value must be.,0,0,1,readOnly,default,none,"none,server,global",NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,referenceTypes,string,"Used only with an attribute of type reference.  Specifies a SCIM resourceType that a reference attribute MAY refer to, e.g., User.",1,0,1,readOnly,default,none,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:Schema,subAttributes,complex,Used to define the sub-attributes of a complex attribute.,1,0,0,readOnly,default,NULL,NULL,NULL,attributes
urn:ietf:params:scim:schemas:core:2.0:ResourceType,id,string,The resource types server unique id. May be the same as the name attribute.,0,0,0,readOnly,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ResourceType,name,string,"The resource type name.  When applicable, service providers MUST specify the name, e.g., User.",0,1,0,readOnly,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ResourceType,description,string,"The resource types human-readable description.  When applicable, service providers MUST specify the description.",0,0,0,readOnly,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ResourceType,endpoint,reference,"The resource types HTTP-addressable endpoint relative to the Base URL, e.g., /Users.",0,1,0,readOnly,default,none,NULL,uri,NULL
urn:ietf:params:scim:schemas:core:2.0:ResourceType,schema,reference,The resource types primary/base schema URI.,0,1,1,readOnly,default,none,NULL,uri,NULL
urn:ietf:params:scim:schemas:core:2.0:ResourceType,schemaExtensions,complex,A list of URIs of the resource types schema extensions.,0,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ResourceType,schema,reference,The URI of a schema extension.,0,1,1,readOnly,default,none,NULL,uri,schemaExtensions
urn:ietf:params:scim:schemas:core:2.0:ResourceType,required,boolean,"A Boolean value that specifies whether or not the schema extension is required for the resource type.  If true, a resource of this type MUST include this schema extension and also include any attributes declared as required in this schema extension. If false, a resource of this type MAY omit this schema extension.",0,1,0,readOnly,default,NULL,NULL,NULL,schemaExtensions
urn:ietf:params:scim:schemas:core:2.0:User,userName,string,"Unique identifier for the User, typically used by the user to directly authenticate to the service provider. Each User MUST include a non-empty userName value.  This identifier MUST be unique across the service providers entire set of Users. REQUIRED.",0,1,0,readWrite,default,server,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,externalId,string,"Identifier for the resource as defined by the provisioning client.",0,0,1,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,name,complex,"The components of the users real name. Providers MAY return just the full name as a single string in the formatted sub-attribute, or they MAY return just the individual component attributes using the other sub-attributes, or they MAY return both.  If both variants are returned, they SHOULD be describing the same name, with the formatted name indicating how the component attributes should be combined.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,formatted,string,"The full name, including all middle names, titles, and suffixes as appropriate, formatted for display (e.g., Ms. Barbara J Jensen, III).",0,0,0,readWrite,default,none,NULL,NULL,name
urn:ietf:params:scim:schemas:core:2.0:User,familyName,string,"The family name of the User, or last name in most Western languages (e.g., Jensen given the full name Ms. Barbara J Jensen, III).",0,0,0,readWrite,default,none,NULL,NULL,name
urn:ietf:params:scim:schemas:core:2.0:User,givenName,string,"The given name of the User, or first name in most Western languages (e.g., Barbara given the full name Ms. Barbara J Jensen, III).",0,0,0,readWrite,default,none,NULL,NULL,name
urn:ietf:params:scim:schemas:core:2.0:User,middleName,string,"The middle name(s) of the User (e.g., Jane given the full name Ms. Barbara J Jensen, III).",0,0,0,readWrite,default,none,NULL,NULL,name
urn:ietf:params:scim:schemas:core:2.0:User,honorificPrefix,string,"The honorific prefix(es) of the User, or title in most Western languages (e.g., Ms. given the full name Ms. Barbara J Jensen, III).",0,0,0,readWrite,default,none,NULL,NULL,name
urn:ietf:params:scim:schemas:core:2.0:User,honorificSuffix,string,"The honorific suffix(es) of the User, or suffix in most Western languages (e.g., III given the full name Ms. Barbara J Jensen, III).",0,0,0,readWrite,default,none,NULL,NULL,name
urn:ietf:params:scim:schemas:core:2.0:User,displayName,string,"The name of the User, suitable for display to end-users.  The name SHOULD be the full name of the User being described, if known.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,nickName,string,"The casual way to address the user in real life, e.g., Bob or Bobby instead of Robert.  This attribute SHOULD NOT be used to represent a Users username (e.g., bjensen or mpepperidge).",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,profileUrl,reference,A fully qualified URL pointing to a page representing the Users online profile.,0,0,0,readWrite,default,none,NULL,external,NULL
urn:ietf:params:scim:schemas:core:2.0:User,title,string,"The users title, such as Vice President.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,userType,string,"Used to identify the relationship between the organization and the user.  Typical values used might be Contractor, Employee, Intern, Temp, External, and Unknown, but any value may be used.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,preferredLanguage,string,"Indicates the Users preferred written or spoken language.  Generally used for selecting a localized user interface; e.g., en_US specifies the language English and country US.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,locale,string,"Used to indicate the Users default location for purposes of localizing items such as currency, date time format, or numerical representations.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,timezone,string,"The Users time zone in the Olson time zone database format, e.g., America/Los_Angeles.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,active,boolean,A Boolean value indicating the Users administrative status.,0,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,password,string,The Users cleartext password.  This attribute is intended to be used as a means to specify an initial password when creating a new User or to reset an existing Users password.,0,0,0,writeOnly,never,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,emails,complex,"Email addresses for the user.  The value SHOULD be canonicalized by the service provider, e.g., bjensen@example.com instead of bjensen@EXAMPLE.COM. Canonical type values of work, home, and other.",1,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,string,"Email addresses for the user.  The value SHOULD be canonicalized by the service provider, e.g., bjensen@example.com instead of bjensen@EXAMPLE.COM. Canonical type values of work, home, and other.",0,0,0,readWrite,default,none,NULL,NULL,emails
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,emails
urn:ietf:params:scim:schemas:core:2.0:User,type,string,"A label indicating the attributes function, e.g., work or home.",0,0,0,readWrite,default,none,"work,home,other",NULL,emails
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,"A Boolean value indicating the primary or preferred attribute value for this attribute, e.g., the preferred mailing address or primary email address.  The primary attribute value true MUST appear no more than once.",0,0,0,readWrite,default,NULL,NULL,NULL,emails
urn:ietf:params:scim:schemas:core:2.0:User,phoneNumbers,complex,"Phone numbers for the User.  The value SHOULD be canonicalized by the service provider according to the format specified in RFC 3966, e.g., tel:+1-201-555-0123. Canonical type values of work, home, mobile, fax, pager, and other.",1,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,string,Phone number of the User.,0,0,0,readWrite,default,none,NULL,NULL,phoneNumbers
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,phoneNumbers
urn:ietf:params:scim:schemas:core:2.0:User,type,string,"A label indicating the attributes function, e.g., work, home, mobile.",0,0,0,readWrite,default,none,"work,home,mobile,fax,pager,other",NULL,phoneNumbers
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,"A Boolean value indicating the primary or preferred attribute value for this attribute, e.g., the preferred phone number or primary phone number.  The primary attribute value true MUST appear no more than once.",0,0,0,readWrite,default,NULL,NULL,NULL,phoneNumbers
urn:ietf:params:scim:schemas:core:2.0:User,ims,complex,Instant messaging addresses for the User.,1,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,string,Instant messaging address for the User.,0,0,0,readWrite,default,none,NULL,NULL,ims
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,ims
urn:ietf:params:scim:schemas:core:2.0:User,type,string,"A label indicating the attributes function, e.g., aim, gtalk, xmpp.",0,0,0,readWrite,default,none,"aim,gtalk,icq,xmpp,msn,skype,qq,yahoo",NULL,ims
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,"A Boolean value indicating the primary or preferred attribute value for this attribute, e.g., the preferred messenger or primary messenger.  The primary attribute value true MUST appear no more than once.",0,0,0,readWrite,default,NULL,NULL,NULL,ims
urn:ietf:params:scim:schemas:core:2.0:User,photos,complex,URLs of photos of the User.,1,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,reference,URL of a photo of the User.,0,0,0,readWrite,default,none,NULL,external,photos
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,photos
urn:ietf:params:scim:schemas:core:2.0:User,type,string,"A label indicating the attributes function, i.e., photo or thumbnail.",0,0,0,readWrite,default,none,"photo,thumbnail",NULL,photos
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,"A Boolean value indicating the primary or preferred attribute value for this attribute, e.g., the preferred photo or thumbnail.  The primary attribute value true MUST appear no more than once.",0,0,0,readWrite,default,NULL,NULL,NULL,photos
urn:ietf:params:scim:schemas:core:2.0:User,addresses,complex,"A physical mailing address for this User. Canonical type values of work, home, and other.  This attribute is a complex type with the following sub-attributes.",1,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,formatted,string,"The full mailing address, formatted for display or use with a mailing label.  This attribute MAY contain newlines.",0,0,0,readWrite,default,none,NULL,NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,streetAddress,string,"The full street address component, which may include house number, street name, P.O. box, and multi-line extended street address information.  This attribute MAY contain newlines.",0,0,0,readWrite,default,none,NULL,NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,locality,string,The city or locality component.,0,0,0,readWrite,default,none,NULL,NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,region,string,The state or region component.,0,0,0,readWrite,default,none,NULL,NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,postalCode,string,The zip code or postal code component.,0,0,0,readWrite,default,none,NULL,NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,country,string,The country name component.,0,0,0,readWrite,default,none,NULL,NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,type,string,"A label indicating the attribute's function, e.g., 'work' or 'home'.",0,0,0,readWrite,default,none,"work,home,other",NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,"A Boolean value indicating the primary or preferred attribute value for this attribute, e.g., the preferred address.  The primary attribute value true MUST appear no more than once.",0,0,0,readWrite,default,NULL,NULL,NULL,addresses
urn:ietf:params:scim:schemas:core:2.0:User,groups,complex,"A list of groups to which the user belongs, either through direct membership, through nested groups, or dynamically calculated.",1,0,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,string,The identifier of the Users group.,0,0,0,readOnly,default,none,NULL,NULL,groups
urn:ietf:params:scim:schemas:core:2.0:User,$ref,reference,The URI of the corresponding Group resource to which the user belongs.,0,0,0,readOnly,default,none,NULL,"User,Group",groups
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readOnly,default,none,NULL,NULL,groups
urn:ietf:params:scim:schemas:core:2.0:User,type,string,"A label indicating the attributes function, e.g., direct or indirect.",0,0,0,readOnly,default,none,"direct,indirect",NULL,groups
urn:ietf:params:scim:schemas:core:2.0:User,entitlements,complex,A list of entitlements for the User that represent a thing the User has.,1,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,string,The value of an entitlement.,0,0,0,readWrite,default,none,NULL,NULL,entitlements
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,entitlements
urn:ietf:params:scim:schemas:core:2.0:User,type,string,A label indicating the attributes function.,0,0,0,readWrite,default,none,NULL,NULL,entitlements
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,A Boolean value indicating the primary or preferred attribute value for this attribute.  The primary attribute value true MUST appear no more than once.,0,0,0,readWrite,default,NULL,NULL,NULL,entitlements
urn:ietf:params:scim:schemas:core:2.0:User,roles,complex,"A list of roles for the User that collectively represent who the User is, e.g., Student, Faculty.",1,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,string,The value of a role.,0,0,0,readWrite,default,none,NULL,NULL,roles
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,roles
urn:ietf:params:scim:schemas:core:2.0:User,type,string,A label indicating the attributes function.,0,0,0,readWrite,default,none,NULL,NULL,roles
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,A Boolean value indicating the primary or preferred attribute value for this attribute.  The primary attribute value true MUST appear no more than once.,0,0,0,readWrite,default,NULL,NULL,NULL,roles
urn:ietf:params:scim:schemas:core:2.0:User,x509Certificates,complex,A list of certificates issued to the User.,1,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:User,value,binary,The value of an X.509 certificate.,0,0,0,readWrite,default,none,NULL,NULL,x509Certificates
urn:ietf:params:scim:schemas:core:2.0:User,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,x509Certificates
urn:ietf:params:scim:schemas:core:2.0:User,type,string,A label indicating the attributes function.,0,0,0,readWrite,default,none,NULL,NULL,x509Certificates
urn:ietf:params:scim:schemas:core:2.0:User,primary,boolean,A Boolean value indicating the primary or preferred attribute value for this attribute.  The primary attribute value true MUST appear no more than once.,0,0,0,readWrite,default,NULL,NULL,NULL,x509Certificates
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,employeeNumber,string,"Numeric or alphanumeric identifier assigned to a person, typically based on order of hire or association with an organization.",0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,costCenter,string,Identifies the name of a cost center.,0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,organization,string,Identifies the name of an organization.,0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,division,string,Identifies the name of a division.,0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,department,string,Identifies the name of a department.,0,0,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,manager,complex,The Users manager.  A complex type that optionally allows service providers to represent organizational hierarchy by referencing the id attribute of another User.,0,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,value,string,The id of the SCIM resource representing the Users manager.  REQUIRED.,0,0,0,readWrite,default,none,NULL,NULL,manager
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,$ref,reference,The URI of the SCIM resource representing the Users manager.  REQUIRED.,0,0,0,readWrite,default,none,NULL,User,manager
urn:ietf:params:scim:schemas:extension:enterprise:2.0:User,displayName,string,The displayName of the Users manager. OPTIONAL and READ-ONLY.,0,0,0,readOnly,default,none,NULL,NULL,manager
